incident_date,district,crime_category,hour_of_day,day_of_week,recent_7day_count,precinct_density_score,future_incident_count
2026-01-01 14:00:00,Mysuru,Burglary,14,3,38,3.36,7
2026-01-01 14:00:00,Udupi,Cybercrime,14,3,4,3.8,4
2026-01-01 14:00:00,Hubballi-Dharwad,Fraud,14,3,22,3.77,4
2026-01-01 14:00:00,Hubballi-Dharwad,Theft,14,3,23,6.0,5
2026-01-01 14:00:00,Ballari,Fraud,14,3,11,4.68,4
2026-01-01 15:00:00,Mangaluru,Fraud,15,3,8,8.87,4
2026-01-01 15:00:00,Bengaluru Urban,Assault,15,3,11,8.8,7
2026-01-01 15:00:00,Shivamogga,Fraud,15,3,8,6.95,5
2026-01-01 16:00:00,Hubballi-Dharwad,Cybercrime,16,3,9,8.05,6
2026-01-01 16:00:00,Bengaluru Urban,Assault,16,3,25,6.51,8
2026-01-01 16:00:00,Belagavi,Fraud,16,3,11,2.96,5
2026-01-01 17:00:00,Belagavi,Theft,17,3,34,8.15,8
2026-01-01 17:00:00,Bengaluru Urban,Assault,17,3,43,4.47,11
2026-01-01 17:00:00,Mangaluru,Fraud,17,3,20,6.55,6
2026-01-01 17:00:00,Ballari,Fraud,17,3,17,3.73,5
2026-01-01 18:00:00,Ballari,Burglary,18,3,9,6.54,4
2026-01-01 18:00:00,Udupi,Fraud,18,3,26,6.6,7
2026-01-01 18:00:00,Davanagere,Fraud,18,3,6,6.82,3
2026-01-01 19:00:00,Belagavi,Theft,19,3,41,8.36,9
2026-01-01 19:00:00,Mangaluru,Fraud,19,3,39,7.23,9
2026-01-01 19:00:00,Udupi,Theft,19,3,16,7.26,6
2026-01-01 20:00:00,Davanagere,Fraud,20,3,22,4.67,6
2026-01-01 20:00:00,Bengaluru Urban,Theft,20,3,29,5.93,11
2026-01-01 20:00:00,Davanagere,Burglary,20,3,36,3.38,6
2026-01-01 20:00:00,Shivamogga,Assault,20,3,16,2.33,5
2026-01-01 20:00:00,Belagavi,Burglary,20,3,30,9.49,8
2026-01-01 20:00:00,Hubballi-Dharwad,Cybercrime,20,3,36,9.34,8
2026-01-01 20:00:00,Belagavi,Theft,20,3,2,8.69,3
2026-01-01 20:00:00,Hubballi-Dharwad,Burglary,20,3,40,7.95,7
2026-01-01 21:00:00,Mangaluru,Burglary,21,3,12,4.8,3
2026-01-01 22:00:00,Davanagere,Cybercrime,22,3,9,5.53,5
2026-01-01 22:00:00,Mangaluru,Burglary,22,3,5,1.53,3
2026-01-01 23:00:00,Hubballi-Dharwad,Fraud,23,3,33,6.99,8
2026-01-01 23:00:00,Mysuru,Burglary,23,3,24,9.13,6
2026-01-02 00:00:00,Ballari,Theft,0,4,19,7.72,9
2026-01-02 00:00:00,Kalaburagi,Cybercrime,0,4,31,8.34,8
2026-01-02 01:00:00,Davanagere,Fraud,1,4,23,2.26,3
2026-01-02 01:00:00,Mysuru,Theft,1,4,3,2.39,6
2026-01-02 02:00:00,Udupi,Assault,2,4,28,8.18,8
2026-01-02 02:00:00,Hubballi-Dharwad,Assault,2,4,39,8.68,9
2026-01-02 02:00:00,Mysuru,Burglary,2,4,42,2.81,10
2026-01-02 02:00:00,Mangaluru,Cybercrime,2,4,15,8.53,7
2026-01-02 02:00:00,Mangaluru,Burglary,2,4,12,2.25,6
2026-01-02 03:00:00,Davanagere,Fraud,3,4,26,3.0,5
2026-01-02 03:00:00,Kalaburagi,Cybercrime,3,4,15,5.47,6
2026-01-02 03:00:00,Hubballi-Dharwad,Burglary,3,4,29,1.57,7
2026-01-02 03:00:00,Ballari,Fraud,3,4,22,4.55,5
2026-01-02 03:00:00,Mysuru,Assault,3,4,33,7.79,7
2026-01-02 03:00:00,Mangaluru,Fraud,3,4,7,7.15,3
2026-01-02 04:00:00,Hubballi-Dharwad,Burglary,4,4,32,3.14,9
2026-01-02 04:00:00,Belagavi,Fraud,4,4,30,4.27,6
2026-01-02 05:00:00,Bengaluru Urban,Fraud,5,4,31,6.22,9
2026-01-02 05:00:00,Mysuru,Assault,5,4,5,4.4,3
2026-01-02 05:00:00,Kalaburagi,Cybercrime,5,4,44,8.39,9
2026-01-02 05:00:00,Hubballi-Dharwad,Assault,5,4,21,8.71,6
2026-01-02 05:00:00,Hubballi-Dharwad,Cybercrime,5,4,11,7.14,5
2026-01-02 06:00:00,Kalaburagi,Theft,6,4,3,7.02,2
2026-01-02 06:00:00,Mangaluru,Burglary,6,4,20,7.75,5
2026-01-02 07:00:00,Mangaluru,Fraud,7,4,27,4.91,7
2026-01-02 07:00:00,Udupi,Fraud,7,4,32,2.1,4
2026-01-02 07:00:00,Bengaluru Urban,Fraud,7,4,21,7.68,10
2026-01-02 08:00:00,Shivamogga,Burglary,8,4,31,1.56,5
2026-01-02 09:00:00,Mangaluru,Theft,9,4,10,4.88,3
2026-01-02 10:00:00,Mangaluru,Theft,10,4,4,5.27,4
2026-01-02 10:00:00,Shivamogga,Fraud,10,4,37,7.94,8
2026-01-02 10:00:00,Ballari,Theft,10,4,15,5.45,5
2026-01-02 10:00:00,Ballari,Theft,10,4,8,8.74,4
2026-01-02 11:00:00,Ballari,Burglary,11,4,23,1.76,4
2026-01-02 11:00:00,Belagavi,Fraud,11,4,27,6.99,6
2026-01-02 11:00:00,Mangaluru,Cybercrime,11,4,7,2.13,6
2026-01-02 12:00:00,Hubballi-Dharwad,Assault,12,4,37,3.82,5
2026-01-02 12:00:00,Mangaluru,Theft,12,4,22,4.94,5
2026-01-02 12:00:00,Belagavi,Assault,12,4,34,6.18,6
2026-01-02 13:00:00,Kalaburagi,Theft,13,4,27,2.72,4
2026-01-02 13:00:00,Bengaluru Urban,Fraud,13,4,8,9.0,7
2026-01-02 14:00:00,Ballari,Assault,14,4,23,5.59,6
2026-01-02 14:00:00,Hubballi-Dharwad,Assault,14,4,30,8.81,8
2026-01-02 16:00:00,Mangaluru,Cybercrime,16,4,18,4.56,7
2026-01-02 17:00:00,Davanagere,Fraud,17,4,33,1.83,7
2026-01-02 19:00:00,Mysuru,Theft,19,4,16,4.74,4
2026-01-02 19:00:00,Belagavi,Cybercrime,19,4,38,2.9,8
2026-01-02 19:00:00,Hubballi-Dharwad,Burglary,19,4,33,8.53,7
2026-01-02 20:00:00,Ballari,Fraud,20,4,35,6.38,6
2026-01-02 20:00:00,Mangaluru,Fraud,20,4,33,5.62,8
2026-01-02 20:00:00,Mangaluru,Fraud,20,4,7,6.31,3
2026-01-02 20:00:00,Udupi,Fraud,20,4,10,8.67,4
2026-01-02 20:00:00,Bengaluru Urban,Theft,20,4,10,6.82,7
2026-01-02 21:00:00,Mangaluru,Fraud,21,4,15,5.21,5
2026-01-02 21:00:00,Kalaburagi,Cybercrime,21,4,22,5.89,6
2026-01-02 22:00:00,Bengaluru Urban,Theft,22,4,40,5.76,12
2026-01-02 23:00:00,Davanagere,Assault,23,4,28,7.09,8
2026-01-02 23:00:00,Ballari,Cybercrime,23,4,23,5.12,5
2026-01-03 00:00:00,Kalaburagi,Burglary,0,5,19,3.93,8
2026-01-03 00:00:00,Mangaluru,Theft,0,5,4,5.17,4
2026-01-03 01:00:00,Kalaburagi,Assault,1,5,27,2.09,4
2026-01-03 02:00:00,Kalaburagi,Theft,2,5,22,1.25,7
2026-01-03 02:00:00,Belagavi,Cybercrime,2,5,14,2.77,3
2026-01-03 02:00:00,Davanagere,Theft,2,5,32,6.88,10
2026-01-03 04:00:00,Hubballi-Dharwad,Cybercrime,4,5,44,2.59,7
2026-01-03 04:00:00,Ballari,Burglary,4,5,14,8.81,8
2026-01-03 05:00:00,Udupi,Fraud,5,5,35,6.75,7
2026-01-03 05:00:00,Hubballi-Dharwad,Theft,5,5,17,9.19,8
2026-01-03 05:00:00,Davanagere,Cybercrime,5,5,12,1.44,3
2026-01-03 05:00:00,Ballari,Assault,5,5,5,4.7,5
2026-01-03 05:00:00,Bengaluru Urban,Theft,5,5,17,6.29,11
2026-01-03 06:00:00,Ballari,Theft,6,5,27,7.2,9
2026-01-03 06:00:00,Udupi,Assault,6,5,11,2.07,2
2026-01-03 06:00:00,Shivamogga,Fraud,6,5,13,4.7,4
2026-01-03 07:00:00,Belagavi,Cybercrime,7,5,5,8.22,5
2026-01-03 07:00:00,Hubballi-Dharwad,Cybercrime,7,5,14,1.9,5
2026-01-03 07:00:00,Kalaburagi,Burglary,7,5,19,5.08,6
2026-01-03 08:00:00,Mangaluru,Fraud,8,5,33,2.88,6
2026-01-03 08:00:00,Belagavi,Theft,8,5,5,9.45,5
2026-01-03 08:00:00,Belagavi,Theft,8,5,11,9.36,5
2026-01-03 09:00:00,Ballari,Theft,9,5,4,5.39,3
2026-01-03 09:00:00,Mysuru,Fraud,9,5,43,9.33,10
2026-01-03 09:00:00,Belagavi,Theft,9,5,26,1.4,6
2026-01-03 10:00:00,Davanagere,Fraud,10,5,20,3.1,4
2026-01-03 10:00:00,Shivamogga,Fraud,10,5,17,7.69,5
2026-01-03 11:00:00,Mysuru,Theft,11,5,4,1.74,2
2026-01-03 11:00:00,Shivamogga,Assault,11,5,41,2.33,6
2026-01-03 12:00:00,Bengaluru Urban,Burglary,12,5,13,8.02,7
2026-01-03 12:00:00,Mangaluru,Fraud,12,5,26,4.48,5
2026-01-03 12:00:00,Ballari,Fraud,12,5,35,7.34,7
2026-01-03 13:00:00,Hubballi-Dharwad,Assault,13,5,44,4.5,9
2026-01-03 13:00:00,Ballari,Cybercrime,13,5,10,2.62,6
2026-01-03 14:00:00,Mangaluru,Fraud,14,5,23,8.44,5
2026-01-03 14:00:00,Davanagere,Assault,14,5,40,7.91,8
2026-01-03 15:00:00,Udupi,Fraud,15,5,7,7.74,4
2026-01-03 16:00:00,Shivamogga,Cybercrime,16,5,7,4.21,5
2026-01-03 16:00:00,Mangaluru,Fraud,16,5,36,5.55,6
2026-01-03 16:00:00,Mangaluru,Assault,16,5,10,4.43,5
2026-01-03 16:00:00,Mysuru,Burglary,16,5,2,4.37,3
2026-01-03 17:00:00,Udupi,Theft,17,5,21,2.09,4
2026-01-03 17:00:00,Hubballi-Dharwad,Theft,17,5,44,4.24,7
2026-01-03 17:00:00,Udupi,Cybercrime,17,5,10,8.39,5
2026-01-03 18:00:00,Kalaburagi,Fraud,18,5,24,5.93,6
2026-01-03 19:00:00,Udupi,Theft,19,5,22,6.59,6
2026-01-03 20:00:00,Udupi,Burglary,20,5,42,7.0,8
2026-01-03 20:00:00,Davanagere,Fraud,20,5,11,2.36,4
2026-01-03 20:00:00,Bengaluru Urban,Assault,20,5,9,8.98,9
2026-01-03 20:00:00,Belagavi,Theft,20,5,12,6.74,4
2026-01-03 21:00:00,Kalaburagi,Burglary,21,5,9,7.98,5
2026-01-03 21:00:00,Hubballi-Dharwad,Cybercrime,21,5,4,4.61,2
2026-01-03 21:00:00,Mysuru,Assault,21,5,8,4.15,6
2026-01-03 21:00:00,Kalaburagi,Fraud,21,5,33,2.95,5
2026-01-03 21:00:00,Belagavi,Cybercrime,21,5,19,4.61,4
2026-01-03 22:00:00,Mangaluru,Burglary,22,5,17,6.85,5
2026-01-03 22:00:00,Hubballi-Dharwad,Theft,22,5,33,3.07,5
2026-01-03 22:00:00,Udupi,Assault,22,5,11,4.01,7
2026-01-03 22:00:00,Hubballi-Dharwad,Fraud,22,5,37,7.38,7
2026-01-03 23:00:00,Davanagere,Assault,23,5,11,4.25,6
2026-01-03 23:00:00,Udupi,Theft,23,5,4,2.67,2
2026-01-03 23:00:00,Bengaluru Urban,Fraud,23,5,41,2.75,10
2026-01-03 23:00:00,Shivamogga,Theft,23,5,22,2.83,5
2026-01-04 00:00:00,Belagavi,Assault,0,6,37,4.71,6
2026-01-04 00:00:00,Ballari,Fraud,0,6,29,3.58,5
2026-01-04 00:00:00,Ballari,Theft,0,6,7,4.15,6
2026-01-04 01:00:00,Davanagere,Fraud,1,6,4,6.88,3
2026-01-04 01:00:00,Bengaluru Urban,Burglary,1,6,44,7.9,14
2026-01-04 02:00:00,Bengaluru Urban,Assault,2,6,12,6.46,8
2026-01-04 03:00:00,Kalaburagi,Theft,3,6,33,6.71,10
2026-01-04 04:00:00,Davanagere,Assault,4,6,38,6.87,8
2026-01-04 04:00:00,Hubballi-Dharwad,Theft,4,6,5,5.37,7
2026-01-04 06:00:00,Belagavi,Fraud,6,6,38,1.9,5
2026-01-04 07:00:00,Davanagere,Assault,7,6,17,2.41,4
2026-01-04 07:00:00,Davanagere,Cybercrime,7,6,42,2.43,6
2026-01-04 08:00:00,Shivamogga,Cybercrime,8,6,29,4.97,7
2026-01-04 09:00:00,Davanagere,Fraud,9,6,3,1.27,2
2026-01-04 09:00:00,Bengaluru Urban,Fraud,9,6,42,7.66,10
2026-01-04 09:00:00,Belagavi,Burglary,9,6,3,3.34,5
2026-01-04 10:00:00,Hubballi-Dharwad,Theft,10,6,16,7.79,6
2026-01-04 10:00:00,Ballari,Assault,10,6,24,9.39,7
2026-01-04 10:00:00,Udupi,Assault,10,6,14,9.4,5
2026-01-04 10:00:00,Udupi,Assault,10,6,21,8.95,7
2026-01-04 10:00:00,Shivamogga,Cybercrime,10,6,34,3.41,9
2026-01-04 10:00:00,Bengaluru Urban,Fraud,10,6,21,3.38,7
2026-01-04 10:00:00,Mangaluru,Theft,10,6,22,2.52,4
2026-01-04 11:00:00,Mysuru,Theft,11,6,11,5.04,4
2026-01-04 11:00:00,Udupi,Assault,11,6,38,2.99,8
2026-01-04 11:00:00,Mysuru,Burglary,11,6,30,3.32,6
2026-01-04 12:00:00,Mysuru,Fraud,12,6,2,9.22,5
2026-01-04 12:00:00,Mysuru,Assault,12,6,34,6.38,6
2026-01-04 12:00:00,Ballari,Burglary,12,6,9,2.49,3
2026-01-04 12:00:00,Mangaluru,Fraud,12,6,15,5.52,5
2026-01-04 12:00:00,Mangaluru,Assault,12,6,38,1.8,7
2026-01-04 13:00:00,Davanagere,Fraud,13,6,11,7.71,4
2026-01-04 13:00:00,Mysuru,Assault,13,6,35,7.68,8
2026-01-04 13:00:00,Davanagere,Fraud,13,6,33,4.92,7
2026-01-04 13:00:00,Udupi,Fraud,13,6,32,8.4,7
2026-01-04 13:00:00,Kalaburagi,Theft,13,6,5,6.36,3
2026-01-04 14:00:00,Bengaluru Urban,Burglary,14,6,24,5.03,8
2026-01-04 15:00:00,Davanagere,Burglary,15,6,17,3.57,4
2026-01-04 15:00:00,Ballari,Assault,15,6,42,8.53,9
2026-01-04 15:00:00,Shivamogga,Assault,15,6,20,2.85,5
2026-01-04 16:00:00,Mangaluru,Burglary,16,6,37,2.79,7
2026-01-04 16:00:00,Bengaluru Urban,Fraud,16,6,5,7.47,5
2026-01-04 16:00:00,Davanagere,Assault,16,6,33,2.92,7
2026-01-04 16:00:00,Shivamogga,Cybercrime,16,6,34,8.43,9
2026-01-04 17:00:00,Udupi,Burglary,17,6,30,6.4,6
2026-01-04 17:00:00,Belagavi,Fraud,17,6,19,4.31,5
2026-01-04 17:00:00,Kalaburagi,Fraud,17,6,29,1.82,5
2026-01-04 18:00:00,Davanagere,Burglary,18,6,44,4.85,6
2026-01-04 19:00:00,Bengaluru Urban,Theft,19,6,14,5.21,6
2026-01-04 19:00:00,Kalaburagi,Assault,19,6,18,8.58,8
2026-01-04 19:00:00,Davanagere,Assault,19,6,20,8.33,8
2026-01-04 21:00:00,Kalaburagi,Cybercrime,21,6,10,3.27,3
2026-01-04 22:00:00,Hubballi-Dharwad,Assault,22,6,37,5.7,10
2026-01-04 22:00:00,Udupi,Cybercrime,22,6,22,8.67,7
2026-01-04 22:00:00,Mysuru,Theft,22,6,6,7.0,4
2026-01-04 22:00:00,Bengaluru Urban,Cybercrime,22,6,7,1.99,4
2026-01-05 01:00:00,Mysuru,Fraud,1,0,37,2.01,6
2026-01-05 01:00:00,Mysuru,Burglary,1,0,44,1.35,10
2026-01-05 02:00:00,Shivamogga,Fraud,2,0,38,6.84,8
2026-01-05 03:00:00,Mysuru,Burglary,3,0,22,6.9,6
2026-01-05 03:00:00,Udupi,Cybercrime,3,0,25,6.14,6
2026-01-05 03:00:00,Udupi,Burglary,3,0,20,3.96,9
2026-01-05 03:00:00,Udupi,Assault,3,0,43,4.09,7
2026-01-05 04:00:00,Hubballi-Dharwad,Burglary,4,0,38,7.18,11
2026-01-05 04:00:00,Udupi,Fraud,4,0,2,2.71,3
2026-01-05 04:00:00,Davanagere,Assault,4,0,34,9.36,7
2026-01-05 04:00:00,Mysuru,Burglary,4,0,15,9.33,9
2026-01-05 05:00:00,Mangaluru,Cybercrime,5,0,24,3.14,5
2026-01-05 07:00:00,Ballari,Assault,7,0,11,3.86,3
2026-01-05 07:00:00,Bengaluru Urban,Cybercrime,7,0,10,4.45,5
2026-01-05 07:00:00,Mysuru,Burglary,7,0,6,8.4,4
2026-01-05 08:00:00,Davanagere,Assault,8,0,14,3.08,2
2026-01-05 08:00:00,Davanagere,Burglary,8,0,42,1.82,6
2026-01-05 09:00:00,Hubballi-Dharwad,Fraud,9,0,30,3.36,6
2026-01-05 09:00:00,Mysuru,Theft,9,0,31,1.41,6
2026-01-05 09:00:00,Udupi,Cybercrime,9,0,3,3.46,2
2026-01-05 09:00:00,Shivamogga,Cybercrime,9,0,4,1.42,2
2026-01-05 09:00:00,Belagavi,Burglary,9,0,39,7.39,9
2026-01-05 10:00:00,Shivamogga,Cybercrime,10,0,16,6.16,7
2026-01-05 10:00:00,Mangaluru,Burglary,10,0,10,6.02,4
2026-01-05 10:00:00,Udupi,Assault,10,0,7,5.43,2
2026-01-05 10:00:00,Davanagere,Theft,10,0,36,8.0,7
2026-01-05 10:00:00,Mysuru,Assault,10,0,14,8.6,7
2026-01-05 10:00:00,Hubballi-Dharwad,Burglary,10,0,36,7.97,8
2026-01-05 11:00:00,Hubballi-Dharwad,Fraud,11,0,8,5.58,4
2026-01-05 11:00:00,Bengaluru Urban,Cybercrime,11,0,19,6.95,9
2026-01-05 11:00:00,Belagavi,Theft,11,0,23,3.71,5
2026-01-05 12:00:00,Ballari,Theft,12,0,31,8.71,8
2026-01-05 12:00:00,Ballari,Theft,12,0,16,4.48,5
2026-01-05 13:00:00,Hubballi-Dharwad,Theft,13,0,2,4.47,3
2026-01-05 13:00:00,Mysuru,Burglary,13,0,2,1.72,1
2026-01-05 13:00:00,Mysuru,Cybercrime,13,0,22,6.84,10
2026-01-05 13:00:00,Kalaburagi,Fraud,13,0,40,5.12,8
2026-01-05 14:00:00,Kalaburagi,Theft,14,0,23,9.35,6
2026-01-05 14:00:00,Ballari,Fraud,14,0,4,2.83,2
2026-01-05 14:00:00,Bengaluru Urban,Cybercrime,14,0,36,8.22,13
2026-01-05 15:00:00,Udupi,Cybercrime,15,0,5,1.89,5
2026-01-05 15:00:00,Kalaburagi,Theft,15,0,10,8.1,4
2026-01-05 15:00:00,Mangaluru,Fraud,15,0,24,6.62,6
2026-01-05 15:00:00,Ballari,Assault,15,0,10,4.96,3
2026-01-05 16:00:00,Belagavi,Assault,16,0,6,4.13,4
2026-01-05 16:00:00,Hubballi-Dharwad,Cybercrime,16,0,10,9.21,8
2026-01-05 16:00:00,Mangaluru,Cybercrime,16,0,15,4.93,5
2026-01-05 16:00:00,Bengaluru Urban,Burglary,16,0,6,8.34,7
2026-01-05 18:00:00,Mangaluru,Theft,18,0,19,1.66,3
2026-01-05 18:00:00,Udupi,Fraud,18,0,26,5.13,4
2026-01-05 19:00:00,Hubballi-Dharwad,Assault,19,0,38,8.15,10
2026-01-05 19:00:00,Belagavi,Theft,19,0,14,6.92,5
2026-01-05 19:00:00,Udupi,Fraud,19,0,28,4.65,5
2026-01-05 19:00:00,Belagavi,Theft,19,0,14,4.01,6
2026-01-05 20:00:00,Ballari,Assault,20,0,30,2.77,6
2026-01-05 22:00:00,Kalaburagi,Burglary,22,0,14,7.09,5
2026-01-05 23:00:00,Udupi,Fraud,23,0,17,7.63,5
2026-01-06 00:00:00,Bengaluru Urban,Fraud,0,1,21,9.46,10
2026-01-06 00:00:00,Shivamogga,Cybercrime,0,1,21,3.07,5
2026-01-06 00:00:00,Mangaluru,Fraud,0,1,13,1.27,2
2026-01-06 00:00:00,Mangaluru,Cybercrime,0,1,21,2.62,4
2026-01-06 00:00:00,Hubballi-Dharwad,Fraud,0,1,44,6.15,8
2026-01-06 00:00:00,Bengaluru Urban,Cybercrime,0,1,27,2.22,9
2026-01-06 01:00:00,Mysuru,Assault,1,1,16,3.36,5
2026-01-06 01:00:00,Belagavi,Cybercrime,1,1,29,5.57,7
2026-01-06 01:00:00,Ballari,Theft,1,1,38,7.53,9
2026-01-06 02:00:00,Mangaluru,Burglary,2,1,13,4.2,7
2026-01-06 02:00:00,Ballari,Fraud,2,1,12,7.7,7
2026-01-06 03:00:00,Belagavi,Assault,3,1,24,4.89,5
2026-01-06 04:00:00,Ballari,Cybercrime,4,1,42,2.19,8
2026-01-06 04:00:00,Davanagere,Cybercrime,4,1,37,7.28,8
2026-01-06 05:00:00,Mysuru,Theft,5,1,30,8.4,10
2026-01-06 05:00:00,Davanagere,Theft,5,1,14,6.13,7
2026-01-06 06:00:00,Ballari,Theft,6,1,12,4.2,4
2026-01-06 07:00:00,Bengaluru Urban,Assault,7,1,4,2.41,5
2026-01-06 07:00:00,Mangaluru,Burglary,7,1,30,6.21,8
2026-01-06 07:00:00,Mysuru,Cybercrime,7,1,9,3.4,3
2026-01-06 09:00:00,Kalaburagi,Theft,9,1,36,4.93,6
2026-01-06 10:00:00,Ballari,Cybercrime,10,1,43,4.78,10
2026-01-06 10:00:00,Udupi,Burglary,10,1,44,6.94,10
2026-01-06 10:00:00,Mangaluru,Fraud,10,1,3,7.19,4
2026-01-06 11:00:00,Udupi,Cybercrime,11,1,5,3.35,6
2026-01-06 11:00:00,Ballari,Fraud,11,1,20,2.08,4
2026-01-06 11:00:00,Mangaluru,Cybercrime,11,1,4,5.44,5
2026-01-06 11:00:00,Kalaburagi,Theft,11,1,43,8.97,9
2026-01-06 11:00:00,Mysuru,Burglary,11,1,40,5.77,8
2026-01-06 12:00:00,Kalaburagi,Theft,12,1,6,4.51,4
2026-01-06 12:00:00,Hubballi-Dharwad,Burglary,12,1,31,7.29,6
2026-01-06 12:00:00,Ballari,Cybercrime,12,1,26,1.86,6
2026-01-06 12:00:00,Bengaluru Urban,Assault,12,1,19,2.87,7
2026-01-06 12:00:00,Hubballi-Dharwad,Cybercrime,12,1,19,4.64,6
2026-01-06 13:00:00,Bengaluru Urban,Fraud,13,1,16,1.98,7
2026-01-06 13:00:00,Bengaluru Urban,Burglary,13,1,39,2.8,9
2026-01-06 13:00:00,Udupi,Assault,13,1,23,1.85,4
2026-01-06 13:00:00,Davanagere,Cybercrime,13,1,10,3.19,7
2026-01-06 14:00:00,Udupi,Assault,14,1,23,9.03,7
2026-01-06 14:00:00,Kalaburagi,Cybercrime,14,1,31,4.41,7
2026-01-06 14:00:00,Kalaburagi,Cybercrime,14,1,35,2.24,8
2026-01-06 14:00:00,Mysuru,Assault,14,1,8,9.0,5
2026-01-06 15:00:00,Hubballi-Dharwad,Cybercrime,15,1,33,1.66,8
2026-01-06 16:00:00,Kalaburagi,Assault,16,1,14,6.91,5
2026-01-06 16:00:00,Mangaluru,Fraud,16,1,13,6.07,5
2026-01-06 17:00:00,Kalaburagi,Burglary,17,1,16,5.86,7
2026-01-06 17:00:00,Mysuru,Cybercrime,17,1,10,4.84,4
2026-01-06 18:00:00,Udupi,Fraud,18,1,13,7.68,5
2026-01-06 18:00:00,Udupi,Fraud,18,1,21,3.11,5
2026-01-06 18:00:00,Mangaluru,Cybercrime,18,1,37,4.37,7
2026-01-06 21:00:00,Ballari,Cybercrime,21,1,13,1.75,3
2026-01-06 22:00:00,Hubballi-Dharwad,Fraud,22,1,22,8.64,7
2026-01-06 22:00:00,Shivamogga,Assault,22,1,39,3.77,9
2026-01-06 22:00:00,Bengaluru Urban,Fraud,22,1,43,3.6,11
2026-01-06 22:00:00,Mysuru,Fraud,22,1,11,4.65,4
2026-01-06 22:00:00,Ballari,Cybercrime,22,1,31,6.09,6
2026-01-06 23:00:00,Udupi,Burglary,23,1,38,6.37,8
2026-01-07 00:00:00,Hubballi-Dharwad,Cybercrime,0,2,21,2.73,5
2026-01-07 02:00:00,Shivamogga,Burglary,2,2,12,6.38,6
2026-01-07 04:00:00,Udupi,Cybercrime,4,2,8,4.23,4
2026-01-07 04:00:00,Shivamogga,Cybercrime,4,2,5,3.4,3
2026-01-07 04:00:00,Kalaburagi,Theft,4,2,24,8.5,10
2026-01-07 04:00:00,Shivamogga,Assault,4,2,31,2.42,5
2026-01-07 04:00:00,Mysuru,Assault,4,2,33,3.79,4
2026-01-07 05:00:00,Shivamogga,Cybercrime,5,2,35,5.6,5
2026-01-07 06:00:00,Kalaburagi,Cybercrime,6,2,13,8.31,5
2026-01-07 06:00:00,Mangaluru,Assault,6,2,6,4.67,2
2026-01-07 06:00:00,Bengaluru Urban,Cybercrime,6,2,37,7.18,11
2026-01-07 07:00:00,Mysuru,Burglary,7,2,44,7.0,8
2026-01-07 09:00:00,Bengaluru Urban,Fraud,9,2,35,1.59,7
2026-01-07 09:00:00,Ballari,Assault,9,2,44,6.83,9
2026-01-07 10:00:00,Kalaburagi,Cybercrime,10,2,41,7.14,10
2026-01-07 11:00:00,Belagavi,Burglary,11,2,30,3.65,5
2026-01-07 11:00:00,Bengaluru Urban,Cybercrime,11,2,31,6.95,11
2026-01-07 11:00:00,Belagavi,Burglary,11,2,28,7.97,9
2026-01-07 11:00:00,Belagavi,Cybercrime,11,2,18,5.9,7
2026-01-07 11:00:00,Bengaluru Urban,Cybercrime,11,2,9,4.21,10
